,y_true,predicted,lower,upper
1733,0.29189035,0.5927789,-2.6013782,3.786936
1734,-0.365413,-0.0051039457,-3.1211104,3.1109028
1735,-0.87029904,-0.5348273,-3.4506185,2.380964
1736,-1.0005596,-0.8469139,-3.7481701,2.0543425
1737,-1.2807275,-1.1025391,-4.2405305,2.0354524
1738,-1.3053905,-1.2201452,-2.57927,0.13897932
1739,-1.2065047,-1.1511008,-2.2047641,-0.09743738
1740,-1.0118622,-1.054389,-2.4664726,0.35769475
1741,-0.907403,-0.96094865,-2.937918,1.0160205
1742,-0.85608274,-0.8749937,-3.3856888,1.6357013
1743,-0.57161796,-0.65452695,-3.3280616,2.0190077
1744,0.42289102,0.37395704,-2.3499923,3.0979066
1745,1.0060818,2.2043712,-0.5892978,4.99804
1746,2.6117496,2.4516397,-0.7721176,5.675397
1747,1.560046,0.9787339,-2.2715116,4.2289796
1748,0.47609356,0.27792764,-3.0058641,3.5617194
1749,0.512548,0.3402537,-2.945726,3.626233
1750,0.8156446,0.5345813,-2.8960657,3.9652286
1751,0.8926403,0.40845907,-2.9741297,3.7910476
1752,0.67951363,0.15834713,-3.450744,3.7674382
1753,0.77299386,0.22564495,-3.282878,3.7341676
1754,1.7842715,0.803746,-2.6777008,4.2851925
1755,0.4678418,1.5416961,-2.0001218,5.083514
1756,-1.1895976,1.2189652,-2.2961802,4.734111
1757,-0.9881936,0.06633419,-3.5224574,3.6551259
1758,-1.0257298,-0.70499796,-4.2017655,2.7917697
1759,-1.142466,-1.0862823,-4.6270523,2.4544878
1760,-1.0729283,-1.123051,-4.843895,2.5977926
1761,-1.2354958,-1.1269989,-4.9656878,2.71169
1762,-1.0526366,-1.1237974,-2.9434025,0.6958077
1763,-1.0172461,-1.0833653,-2.153594,-0.013136625
1764,-1.1621447,-1.0838825,-2.098298,-0.06946671
1765,-1.7141728,-1.1607449,-2.4511495,0.12965965
1766,-1.4564449,-1.208632,-2.715353,0.29808903
1767,-1.2442946,-1.1218135,-2.5872397,0.3436128
1768,-0.85713863,-0.84473467,-2.8405137,1.1510442
1769,-0.21210365,-0.3853759,-2.6699433,1.8991915
1770,1.9678588,0.8056772,-1.7116129,3.3229673
